REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
National,X,2014,40,1.16191,1.20612,2958,1959,X,3994,712,527,10150,1937,841540
National,X,2014,41,1.30905,1.32485,3055,2116,X,4437,821,548,10977,1960,828544
National,X,2014,42,1.37072,1.41192,3442,2321,X,4728,870,580,11941,2000,845727
National,X,2014,43,1.43373,1.42547,3455,2459,X,4955,892,531,12292,2008,862314
National,X,2014,44,1.42791,1.43909,3632,2242,X,5102,807,530,12313,2053,855608
National,X,2014,45,1.61605,1.61532,4277,2349,X,5799,863,565,13853,2058,857601
National,X,2014,46,1.65976,1.66473,4424,2323,X,5816,911,588,14062,1997,844700
National,X,2014,47,2.05459,2.0058,4740,2921,X,7322,1049,642,16674,2058,831289
National,X,2014,48,2.53541,2.62227,5432,3277,X,6848,1165,880,17602,2067,671251
National,X,2014,49,2.54253,2.60749,6185,4623,X,9106,1767,1224,22905,2097,878430
National,X,2014,50,3.60563,3.4178,7424,5287,X,13050,1970,1441,29172,2069,853532
National,X,2014,51,4.90976,4.46555,9270,6920,X,16418,2671,2103,37382,2016,837119
National,X,2014,52,5.98221,6.11497,10363,8982,X,13951,3718,3519,40533,1984,662849
National,X,2015,1,4.21374,4.07898,7160,8072,X,9589,3614,3048,31483,1958,771835
National,X,2015,2,4.21022,3.93762,7044,6946,X,11966,2909,2339,31204,1971,792459
National,X,2015,3,4.25968,4.15076,7840,6451,X,13949,2951,2030,33221,1966,800359
National,X,2015,4,3.97761,3.87899,7118,5844,X,13159,2585,1915,30621,1955,789407
National,X,2015,5,3.63443,3.45794,6656,5380,X,12093,2368,1654,28151,1950,814097
National,X,2015,6,3.26527,3.06359,6429,4884,X,10328,2072,1505,25218,1917,823153
National,X,2015,7,2.93083,2.82646,5537,4295,X,8164,1842,1271,21109,1907,746836
National,X,2015,8,2.54474,2.3599,4823,4061,X,7280,1765,1249,19178,1934,812660
National,X,2015,9,2.47227,2.33472,4639,3914,X,7116,1696,1076,18441,1912,789858
National,X,2015,10,2.35665,2.21286,4710,3654,X,6748,1654,1067,17833,1907,805881
National,X,2015,11,2.17008,2.07619,4559,3482,X,6084,1573,997,16695,1883,804117
National,X,2015,12,2.04297,2.01267,4418,3284,X,6003,1486,931,16122,1848,801027
National,X,2015,13,1.954,1.94192,4174,2968,X,5623,1321,889,14975,1819,771143
National,X,2015,14,1.72287,1.74809,3903,2931,X,4634,1387,878,13733,1820,785602
National,X,2015,15,1.53694,1.50367,3448,2448,X,4214,1160,774,12044,1813,800974
National,X,2015,16,1.38283,1.43494,3182,2052,X,4011,975,640,10860,1768,756827
National,X,2015,17,1.46265,1.45673,3203,2122,X,4280,888,602,11095,1753,761638
National,X,2015,18,1.38934,1.42836,3106,2074,X,4079,846,589,10694,1735,748690
National,X,2015,19,1.3468,1.35297,2805,1810,X,3641,813,602,9671,1688,714799
National,X,2015,20,1.25452,1.33093,2754,1768,X,3296,736,470,9024,1622,678023
National,X,2015,21,1.21636,1.28422,2593,1461,X,2714,652,493,7913,1579,616171
National,X,2015,22,1.16734,1.13889,2211,1334,X,2345,594,462,6946,1505,609891
National,X,2015,23,1.04654,1.10343,2109,1320,X,2284,575,456,6744,1455,611184
National,X,2015,24,0.943661,0.970748,1734,1167,X,2046,495,408,5850,1459,602628
National,X,2015,25,0.935046,0.998681,1897,1170,X,1921,496,429,5913,1445,592081
National,X,2015,26,0.934726,0.978057,1678,1043,X,1701,430,380,5232,1417,534938
National,X,2015,27,0.864118,0.866431,1546,1081,X,1675,443,371,5116,1428,590468
National,X,2015,28,0.806535,0.827757,1487,1028,X,1609,405,341,4870,1411,588337
National,X,2015,29,0.742747,0.797572,1383,1011,X,1498,413,321,4626,1401,580010
National,X,2015,30,0.737859,0.811221,1415,999,X,1459,432,300,4605,1352,567663
National,X,2015,31,0.743224,0.821165,1392,1026,X,1590,420,325,4753,1364,578812
National,X,2015,32,0.805251,0.819435,1330,1062,X,1667,400,291,4750,1340,579668
National,X,2015,33,0.816943,0.848041,1429,1134,X,1815,436,359,5173,1356,609994
National,X,2015,34,0.814518,0.888524,1687,1151,X,2033,423,354,5648,1362,635661
National,X,2015,35,0.86067,0.962826,1636,1230,X,2292,481,324,5963,1354,619323
National,X,2015,36,0.886704,1.02252,1714,1297,X,2169,461,329,5970,1349,583853
National,X,2015,37,1.00845,1.08392,1993,1392,X,2744,536,397,7062,1369,651524
National,X,2015,38,1.06625,1.17724,2178,1520,X,2947,627,432,7704,1367,654414
National,X,2015,39,1.05995,1.1716,2170,1654,X,2746,652,404,7626,1332,650904
