location
New York
"Toledo, OH"
"Columbus, OH"
Oregon
"Texas, USA"
"Alexandria, VA"

FSU
North Carolina
bfd
"Texas, USA"
"Arkansas, USA"
"California, USA"
"Chicago, IL"
"Frederick, MD"
"Jacksonville, FL"
"Washington, D.C."
NYC
Cleveland State University
"Charlottesville, Va."
"Kenosha, WI"
Orchard Park
"Washington, DC"
"Almost Heaven, West Virginia"
missouri
"Toronto, Ontario"
"Indiana, USA"
Texas
Nova Scotia 
"Wisconsin, USA"
"Washington, DC"
"Missouri, USA"
"St Joseph, Mo."
Somewhere in America
"Archdale, NC"
"Lynchburg, VA"
United States
"Washington, DC "
United States
United States
"Connecticut, USA"
Knox College
Florida
north carolina
"Columbus, OH"
New York via Ohio 
"Missouri, USA"
"New Hudson, MI"
"Oneonta, NY"
"Queens, New York"
Massachusetts
"Morgantown, WV"
United States
Kansas City
"Elgin, SC"
"Washington, D.C."
"Roanoke, VA"
"Minneapolis, MN"
Somewhere on the 6 train
"New York, USA"
"Chapel Hill, NC"
"Milwaukee, WI"
"Buffalo, NY"
"Ohio, USA"
North Carolina
Saint Louis
Washington
"New York, USA"
United States
"Brooklyn, NY"
"Winterset, IA"
"broadway, va"
In God's Will
"New York, USA"
"Florida, USA"
United States
"Texas, USA"
"New York, NY"
United States
"Morgantown, WV"
"Rome, GA"
nyc
"Philadelphia, PA"
"Kansas City, KS"
"Milledgeville, GA"
"Washington, DC"
"Delaware, USA"
"Lexington, KY"
New York
"Florida, USA"
Kokomo
Vermont
New York
Florida
"Niagara, Ontario"
"Massachusetts, USA"
Louisiana
Delaware
Canada
New York
"Chicago, IL"
"Texas, USA"
Philadelphia
Canada
"Denver, CO"
Tennessee
"Fort Collins, CO"
"Chicago, IL"
United States
"Illinois, USA"
NEW YORK
"Philadelphia, PA"
"Crossville, TN"
NYC
"Utah, USA"
"Bradley Beach, New Jersey, USA"
"Brooklyn, NY"
"Akron, OH"
"Toronto, Ontario"
"Miami, FL, USA"
"Independence, VA"
Georgia
"Huntsville, UT"
"New Palestine, IN"
"Cincinnati, OH"
"Bolingbrook, IL"
"Clarksville, TN"
Minnesota
"Wisconsin, USA"
Canada
"Evanston, IL"
"Washington, DC"
"Atlanta, GA"
"Birmingham, AL"
"Chicago, IL"
"Erie, PA"
"Montreal, Quebec"
Moon
USA
United States
"Charlotte, NC"
"Washington, DC"
Narnia
"Kentucky, USA"
"San Miguel el Alto, Jalisco"
"Nashville, TN"
"Washington, DC"
Rhode Island
"New Haven, CT"
"Chicago, IL"
"Philadelphia, PA"
United States
chicago
"Toledo, OH"
"Detroit, MI"
"Oregon, USA"
Atlantis .
"Salem, Massachusetts"
Boston
"Jacksonville Beach, FL"
"Boston, MA"
earth 
Pennsylvania
"Washington, D.C."
"New Hampshire, USA"
Earth
"Pickering, Ontario"
Boston
"Massachusetts, USA"
"Brunswick, GA"
Brooklyn
"North Carolina, USA"
Long Island/NYC
"Washington, DC"
"Georgia, United States"
New York City
"New Brunswick, Canada"
"De Queen, AR"
"Chicagoland, IL"
New York
Ayrshire
"Leola, PA"
