states,Freq,activity level
Alabama,37,4
Alaska,1,1
Arizona,4,1
Arkansas,37,4
California,67,7
Colorado,50,5
Connecticut,22,3
Delaware,10,1
England,16,2
Florida,156,9
Georgia,93,8
Idaho,3,1
Illinois,102,9
Indiana,47,5
Iowa,21,3
Kansas,70,7
Kentucky,52,6
Louisiana,12,2
Maine,8,1
Maryland,43,5
Massachusetts,67,7
Mexico City,1,1
Michigan,50,5
Minnesota,27,3
Mississippi,19,2
Missouri,60,6
Nebraska,11,2
Nevada,10,1
New Hampshire,10,1
New Jersey,59,6
New Mexico,7,1
New York,238,10
North Carolina,88,8
Ohio,134,9
Oklahoma,41,5
Oregon,13,2
Pennsylvania,98,8
Rhode Island,6,1
South Carolina,38,4
South Dakota,4,1
Tennessee,79,7
Texas,60,6
Utah,18,2
Vermont,5,1
Virginia,53,6
Washington,16,2
West Virginia,14,2
Wisconsin,43,5
Wyoming,5,1
