text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,,,
The flu has been wreaking havoc on the Islanders locker room https://t.co/xZoDnPVyus https://t.co/mk4Zcwu3zm,FALSE,1,NA,3/5/19 17:25,FALSE,NA,1.10298E+18,NA,"<a href=\http://www.socialflow.com\"" rel=\""nofollow\"">SocialFlow</a>""",SNYtv,0,FALSE,FALSE,NA,NA,,,
@AtariTexas Awh the poor like baby. Hope she recovers soon and beats the crap out of the flu! Remember to take care… https://t.co/mDBmYHXWnM,FALSE,0,AtariTexas,3/5/19 17:24,TRUE,1.10297E+18,1.10298E+18,568740443,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",KarlsburgReview,0,FALSE,FALSE,NA,NA,,,
I'll never understand why I thought Wendy's was a good choice when I have the flu,FALSE,0,NA,3/5/19 17:24,FALSE,NA,1.10298E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",annaeliz13,0,FALSE,FALSE,NA,NA,,,
Shit RBI baseball came out for the Switch today. I want it but I literally just bought DOA6 Friday 🙃,FALSE,0,NA,3/5/19 17:24,FALSE,NA,1.10298E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",FLU_2Cold,0,FALSE,FALSE,NA,NA,,,
Fuck it. I’m trying to kill it this summer💪🏿🏋🏿‍♀️,FALSE,0,NA,3/5/19 17:23,FALSE,NA,1.10298E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",FLU_2Cold,0,FALSE,FALSE,NA,NA,,,
"Thinking of adding casein to my stack🤔 but I already take Lean 5, test booster, creatine and protein",FALSE,0,NA,3/5/19 17:22,FALSE,NA,1.10298E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",FLU_2Cold,0,FALSE,FALSE,NA,NA,,,
@FluRAWR man you’re like one of my long time friends who I always adore and just hope you’re doing good !!! I still… https://t.co/OweyHJhvoB,FALSE,0,Sombraling,3/5/19 17:22,TRUE,1.10298E+18,1.10298E+18,2957823613,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",Sombraling,0,FALSE,FALSE,NA,NA,,,
I’ve had the flu or something equally as unpleasantness for the past 3 days.  Just finished binge watching The Umbr… https://t.co/FntceB3EIN,FALSE,1,NA,3/5/19 17:22,TRUE,NA,1.10298E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",SingleAnSelfish,0,FALSE,FALSE,NA,NA,,,
"@JGunlock Agree about measles, but all vaccine preventable viruses, including the flu can have severe complications… https://t.co/0yekGFEh7U",FALSE,0,JGunlock,3/5/19 17:21,TRUE,1.10298E+18,1.10298E+18,22133515,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",autism_mommie,0,FALSE,FALSE,NA,NA,,,
"@politico The truth is somewhere in between. While its obviously wise to be immunized against polio, smallpox, diph… https://t.co/Fk2asI1dmw",FALSE,0,politico,3/5/19 17:21,TRUE,1.10298E+18,1.10298E+18,9300262,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",colemarisa49,0,FALSE,FALSE,NA,NA,,,
Getting the flu your birthday weekend has to be the worst time ever,FALSE,0,NA,3/5/19 17:19,FALSE,NA,1.10298E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",FitchettHJ,0,FALSE,FALSE,NA,NA,,,
"@KerriQueen Me right now. One kid had a stomach virus this weekend, now the other kid has it and I've had the flu t… https://t.co/ISv1lkTWKm",FALSE,0,KerriQueen,3/5/19 17:19,TRUE,1.10298E+18,1.10298E+18,149203194,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",AmandaK1231,0,FALSE,FALSE,NA,NA,,,
how I felt waking up this morning with the flu https://t.co/rdqbLi9Sot,FALSE,0,NA,3/5/19 17:17,FALSE,NA,1.10298E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",Louis_bond,0,FALSE,FALSE,NA,NA,,,
"@michaelmeans49 Yes sweetie, I came down with the flu in which I though were allergies but I found out by a nurse t… https://t.co/gcNCRQ69Bg",FALSE,1,michaelmeans49,3/5/19 17:17,TRUE,1.10298E+18,1.10298E+18,1436790152,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",bellaluz88,1,FALSE,FALSE,NA,NA,,,
The Flu is spreading at rapid rates right now... Most people aren’t symptomatic until the second or third day of ha… https://t.co/lxHhUu2r8M,FALSE,0,NA,3/5/19 17:17,TRUE,NA,1.10298E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",RedRozay_,0,FALSE,FALSE,NA,NA,,,
@xandzzz I thought I had the stomach flu back in january(all the same symptoms) but when I couldn’t even keep water… https://t.co/0oEIFcA5WJ,FALSE,0,xandzzz,3/5/19 17:15,TRUE,1.10294E+18,1.10298E+18,203985207,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",twerkaloo,0,FALSE,FALSE,NA,NA,,,
"Flu Shots, #Religious Beliefs, and #Employee #Rights: Navigating the Complex Intersection https://t.co/UoicidY7dT @MuchSheListLaw",FALSE,1,NA,3/5/19 17:15,FALSE,NA,1.10298E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",natlawreview,1,FALSE,FALSE,NA,NA,,,
Do Your Employees Have the Flu? Follow These Paid-Sick-Leave Laws  https://t.co/c5K8xA2Cfm #HR #HumanResources https://t.co/vjpZHoO64O,FALSE,0,NA,3/5/19 17:15,FALSE,NA,1.10298E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",ahaddaway,0,FALSE,FALSE,NA,NA,,,
It is not too late to get a flu vaccine. CDC recommends #flu vaccination as long as influenza viruses are circulati… https://t.co/RZRl0AGiWL,FALSE,1,NA,3/5/19 17:15,TRUE,NA,1.10298E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",FLHealthDuval,2,FALSE,FALSE,NA,NA,,,
